PassengerId,Survived,Pclass,Sex,Age,SibSp,Parch,Fare,Embarked
1,0,3,1,22,1,0,725,3
2,1,1,2,38,1,0,712833,1
3,1,3,2,26,0,0,7925,3
4,1,1,2,35,1,0,531,3
5,0,3,1,35,0,0,805,3
6,0,3,1,38,0,0,84583,2
7,0,1,1,54,0,0,518625,3
8,0,3,1,2,3,1,21075,3
9,1,3,2,27,0,2,111333,3
10,1,2,2,14,1,0,300708,1
11,1,3,2,4,1,1,167,3
12,1,1,2,58,0,0,2655,3
13,0,3,1,20,0,0,805,3
14,0,3,1,39,1,5,31275,3
15,0,3,2,14,0,0,78542,3
16,1,2,2,55,0,0,16,3
17,0,3,1,2,4,1,29125,2
18,1,2,1,38,0,0,13,3
19,0,3,2,31,1,0,18,3
20,1,3,2,38,0,0,7225,1
21,0,2,1,35,0,0,26,3
22,1,2,1,34,0,0,13,3
23,1,3,2,15,0,0,80292,2
24,1,1,1,28,0,0,355,3
25,0,3,2,8,3,1,21075,3
26,1,3,2,38,1,5,313875,3
27,0,3,1,38,0,0,7225,1
28,0,1,1,19,3,2,263,3
29,1,3,2,38,0,0,78792,2
30,0,3,1,38,0,0,78958,3
31,0,1,1,40,0,0,277208,1
32,1,1,2,38,1,0,1465208,1
33,1,3,2,38,0,0,775,2
34,0,2,1,66,0,0,105,3
35,0,1,1,28,1,0,821708,1
36,0,1,1,42,1,0,52,3
37,1,3,1,38,0,0,72292,1
38,0,3,1,21,0,0,805,3
39,0,3,2,18,2,0,18,3
40,1,3,2,14,1,0,112417,1
41,0,3,2,40,1,0,9475,3
42,0,2,2,27,1,0,21,3
43,0,3,1,38,0,0,78958,1
44,1,2,2,3,1,2,415792,1
45,1,3,2,19,0,0,78792,2
46,0,3,1,38,0,0,805,3
47,0,3,1,38,1,0,155,2
48,1,3,2,38,0,0,775,2
49,0,3,1,38,2,0,216792,1
50,0,3,2,18,1,0,178,3
51,0,3,1,7,4,1,396875,3
52,0,3,1,21,0,0,78,3
53,1,1,2,49,1,0,767292,1
54,1,2,2,29,1,0,26,3
55,0,1,1,65,0,1,619792,1
56,1,1,1,38,0,0,355,3
57,1,2,2,21,0,0,105,3
58,0,3,1,285,0,0,72292,1
59,1,2,2,5,1,2,2775,3
60,0,3,1,11,5,2,469,3
61,0,3,1,22,0,0,72292,1
62,1,1,2,38,0,0,80,3
63,0,1,1,45,1,0,83475,3
64,0,3,1,4,3,2,279,3
65,0,1,1,38,0,0,277208,1
66,1,3,1,38,1,1,152458,1
67,1,2,2,29,0,0,105,3
68,0,3,1,19,0,0,81583,3
69,1,3,2,17,4,2,7925,3
70,0,3,1,26,2,0,86625,3
71,0,2,1,32,0,0,105,3
72,0,3,2,16,5,2,469,3
73,0,2,1,21,0,0,735,3
74,0,3,1,26,1,0,144542,1
75,1,3,1,32,0,0,564958,3
76,0,3,1,25,0,0,765,3
77,0,3,1,38,0,0,78958,3
78,0,3,1,38,0,0,805,3
79,1,2,1,83,0,2,29,3
80,1,3,2,30,0,0,12475,3
81,0,3,1,22,0,0,9,3
82,1,3,1,29,0,0,95,3
83,1,3,2,38,0,0,77875,2
84,0,1,1,28,0,0,471,3
85,1,2,2,17,0,0,105,3
86,1,3,2,33,3,0,1585,3
87,0,3,1,16,1,3,34375,3
88,0,3,1,38,0,0,805,3
89,1,1,2,23,3,2,263,3
90,0,3,1,24,0,0,805,3
91,0,3,1,29,0,0,805,3
92,0,3,1,20,0,0,78542,3
93,0,1,1,46,1,0,61175,3
94,0,3,1,26,1,2,20575,3
95,0,3,1,59,0,0,725,3
96,0,3,1,38,0,0,805,3
97,0,1,1,71,0,0,346542,1
98,1,1,1,23,0,1,633583,1
99,1,2,2,34,0,1,23,3
100,0,2,1,34,1,0,26,3
101,0,3,2,28,0,0,78958,3
102,0,3,1,38,0,0,78958,3
103,0,1,1,21,0,1,772875,3
104,0,3,1,33,0,0,86542,3
105,0,3,1,37,2,0,7925,3
106,0,3,1,28,0,0,78958,3
107,1,3,2,21,0,0,765,3
108,1,3,1,38,0,0,7775,3
109,0,3,1,38,0,0,78958,3
110,1,3,2,38,1,0,2415,2
111,0,1,1,47,0,0,52,3
112,0,3,2,145,1,0,144542,1
113,0,3,1,22,0,0,805,3
114,0,3,2,20,1,0,9825,3
115,0,3,2,17,0,0,144583,1
116,0,3,1,21,0,0,7925,3
117,0,3,1,705,0,0,775,2
118,0,2,1,29,1,0,21,3
119,0,1,1,24,0,1,2475208,1
120,0,3,2,2,4,2,31275,3
121,0,2,1,21,2,0,735,3
122,0,3,1,38,0,0,805,3
123,0,2,1,325,1,0,300708,1
124,1,2,2,325,0,0,13,3
125,0,1,1,54,0,1,772875,3
126,1,3,1,12,1,0,112417,1
127,0,3,1,38,0,0,775,2
128,1,3,1,24,0,0,71417,3
129,1,3,2,38,1,1,223583,1
130,0,3,1,45,0,0,6975,3
131,0,3,1,33,0,0,78958,1
132,0,3,1,20,0,0,705,3
133,0,3,2,47,1,0,145,3
134,1,2,2,29,1,0,26,3
135,0,2,1,25,0,0,13,3
136,0,2,1,23,0,0,150458,1
137,1,1,2,19,0,2,262833,3
138,0,1,1,37,1,0,531,3
139,0,3,1,16,0,0,92167,3
140,0,1,1,24,0,0,792,1
141,0,3,2,38,0,2,152458,1
142,1,3,2,22,0,0,775,3
143,1,3,2,24,1,0,1585,3
144,0,3,1,19,0,0,675,2
145,0,2,1,18,0,0,115,3
146,0,2,1,19,1,1,3675,3
147,1,3,1,27,0,0,77958,3
148,0,3,2,9,2,2,34375,3
149,0,2,1,365,0,2,26,3
150,0,2,1,42,0,0,13,3
151,0,2,1,51,0,0,12525,3
152,1,1,2,22,1,0,666,3
153,0,3,1,555,0,0,805,3
154,0,3,1,405,0,2,145,3
155,0,3,1,38,0,0,73125,3
156,0,1,1,51,0,1,613792,1
157,1,3,2,16,0,0,77333,2
158,0,3,1,30,0,0,805,3
159,0,3,1,38,0,0,86625,3
160,0,3,1,38,8,2,6955,3
161,0,3,1,44,0,1,161,3
162,1,2,2,40,0,0,1575,3
163,0,3,1,26,0,0,7775,3
164,0,3,1,17,0,0,86625,3
165,0,3,1,1,4,1,396875,3
166,1,3,1,9,0,2,20525,3
167,1,1,2,38,0,1,55,3
168,0,3,2,45,1,4,279,3
169,0,1,1,38,0,0,25925,3
170,0,3,1,28,0,0,564958,3
171,0,1,1,61,0,0,335,3
172,0,3,1,4,4,1,29125,2
173,1,3,2,1,1,1,111333,3
174,0,3,1,21,0,0,7925,3
175,0,1,1,56,0,0,306958,1
176,0,3,1,18,1,1,78542,3
177,0,3,1,38,3,1,254667,3
178,0,1,2,50,0,0,287125,1
179,0,2,1,30,0,0,13,3
180,0,3,1,36,0,0,0,3
181,0,3,2,38,8,2,6955,3
182,0,2,1,38,0,0,1505,1
183,0,3,1,9,4,2,313875,3
184,1,2,1,1,2,1,39,3
185,1,3,2,4,0,2,22025,3
186,0,1,1,38,0,0,50,3
187,1,3,2,38,1,0,155,2
188,1,1,1,45,0,0,2655,3
189,0,3,1,40,1,1,155,2
190,0,3,1,36,0,0,78958,3
191,1,2,2,32,0,0,13,3
192,0,2,1,19,0,0,13,3
193,1,3,2,19,1,0,78542,3
194,1,2,1,3,1,1,26,3
195,1,1,2,44,0,0,277208,1
196,1,1,2,58,0,0,1465208,1
197,0,3,1,38,0,0,775,2
198,0,3,1,42,0,1,84042,3
199,1,3,2,38,0,0,775,2
200,0,2,2,24,0,0,13,3
201,0,3,1,28,0,0,95,3
202,0,3,1,38,8,2,6955,3
203,0,3,1,34,0,0,64958,3
204,0,3,1,455,0,0,7225,1
205,1,3,1,18,0,0,805,3
206,0,3,2,2,0,1,104625,3
207,0,3,1,32,1,0,1585,3
208,1,3,1,26,0,0,187875,1
209,1,3,2,16,0,0,775,2
210,1,1,1,40,0,0,31,1
211,0,3,1,24,0,0,705,3
212,1,2,2,35,0,0,21,3
213,0,3,1,22,0,0,725,3
214,0,2,1,30,0,0,13,3
215,0,3,1,38,1,0,775,2
216,1,1,2,31,1,0,113275,1
217,1,3,2,27,0,0,7925,3
218,0,2,1,42,1,0,27,3
219,1,1,2,32,0,0,762917,1
220,0,2,1,30,0,0,105,3
221,1,3,1,16,0,0,805,3
222,0,2,1,27,0,0,13,3
223,0,3,1,51,0,0,805,3
224,0,3,1,38,0,0,78958,3
225,1,1,1,38,1,0,90,3
226,0,3,1,22,0,0,935,3
227,1,2,1,19,0,0,105,3
228,0,3,1,205,0,0,725,3
229,0,2,1,18,0,0,13,3
230,0,3,2,38,3,1,254667,3
231,1,1,2,35,1,0,83475,3
232,0,3,1,29,0,0,7775,3
233,0,2,1,59,0,0,135,3
234,1,3,2,5,4,2,313875,3
235,0,2,1,24,0,0,105,3
236,0,3,2,38,0,0,755,3
237,0,2,1,44,1,0,26,3
238,1,2,2,8,0,2,2625,3
239,0,2,1,19,0,0,105,3
240,0,2,1,33,0,0,12275,3
241,0,3,2,38,1,0,144542,1
242,1,3,2,38,1,0,155,2
243,0,2,1,29,0,0,105,3
244,0,3,1,22,0,0,7125,3
245,0,3,1,30,0,0,7225,1
246,0,1,1,44,2,0,90,2
247,0,3,2,25,0,0,7775,3
248,1,2,2,24,0,2,145,3
249,1,1,1,37,1,1,525542,3
250,0,2,1,54,1,0,26,3
251,0,3,1,38,0,0,725,3
252,0,3,2,29,1,1,104625,3
253,0,1,1,62,0,0,2655,3
254,0,3,1,30,1,0,161,3
255,0,3,2,41,0,2,202125,3
256,1,3,2,29,0,2,152458,1
257,1,1,2,38,0,0,792,1
258,1,1,2,30,0,0,865,3
259,1,1,2,35,0,0,5123292,1
260,1,2,2,50,0,1,26,3
261,0,3,1,38,0,0,775,2
262,1,3,1,3,4,2,313875,3
263,0,1,1,52,1,1,7965,3
264,0,1,1,40,0,0,0,3
265,0,3,2,38,0,0,775,2
266,0,2,1,36,0,0,105,3
267,0,3,1,16,4,1,396875,3
268,1,3,1,25,1,0,7775,3
269,1,1,2,58,0,1,1534625,3
270,1,1,2,35,0,0,1356333,3
271,0,1,1,38,0,0,31,3
272,1,3,1,25,0,0,0,3
273,1,2,2,41,0,1,195,3
274,0,1,1,37,0,1,297,1
275,1,3,2,38,0,0,775,2
276,1,1,2,63,1,0,779583,3
277,0,3,2,45,0,0,775,3
278,0,2,1,38,0,0,0,3
279,0,3,1,7,4,1,29125,2
280,1,3,2,35,1,1,2025,3
281,0,3,1,65,0,0,775,2
282,0,3,1,28,0,0,78542,3
283,0,3,1,16,0,0,95,3
284,1,3,1,19,0,0,805,3
285,0,1,1,38,0,0,26,3
286,0,3,1,33,0,0,86625,1
287,1,3,1,30,0,0,95,3
288,0,3,1,22,0,0,78958,3
289,1,2,1,42,0,0,13,3
290,1,3,2,22,0,0,775,2
291,1,1,2,26,0,0,7885,3
292,1,1,2,19,1,0,910792,1
293,0,2,1,36,0,0,12875,1
294,0,3,2,24,0,0,885,3
295,0,3,1,24,0,0,78958,3
296,0,1,1,38,0,0,277208,1
297,0,3,1,235,0,0,72292,1
298,0,1,2,2,1,2,15155,3
299,1,1,1,38,0,0,305,3
300,1,1,2,50,0,1,2475208,1
301,1,3,2,38,0,0,775,2
302,1,3,1,38,2,0,2325,2
303,0,3,1,19,0,0,0,3
304,1,2,2,38,0,0,1235,2
305,0,3,1,38,0,0,805,3
306,1,1,1,92,1,2,15155,3
307,1,1,2,38,0,0,1108833,1
308,1,1,2,17,1,0,1089,1
309,0,2,1,30,1,0,24,1
310,1,1,2,30,0,0,569292,1
311,1,1,2,24,0,0,831583,1
312,1,1,2,18,2,2,262375,1
313,0,2,2,26,1,1,26,3
314,0,3,1,28,0,0,78958,3
315,0,2,1,43,1,1,2625,3
316,1,3,2,26,0,0,78542,3
317,1,2,2,24,1,0,26,3
318,0,2,1,54,0,0,14,3
319,1,1,2,31,0,2,1648667,3
320,1,1,2,40,1,1,1345,1
321,0,3,1,22,0,0,725,3
322,0,3,1,27,0,0,78958,3
323,1,2,2,30,0,0,1235,2
324,1,2,2,22,1,1,29,3
325,0,3,1,38,8,2,6955,3
326,1,1,2,36,0,0,1356333,1
327,0,3,1,61,0,0,62375,3
328,1,2,2,36,0,0,13,3
329,1,3,2,31,1,1,20525,3
330,1,1,2,16,0,1,579792,1
331,1,3,2,38,2,0,2325,2
332,0,1,1,455,0,0,285,3
333,0,1,1,38,0,1,1534625,3
334,0,3,1,16,2,0,18,3
335,1,1,2,38,1,0,13365,3
336,0,3,1,38,0,0,78958,3
337,0,1,1,29,1,0,666,3
338,1,1,2,41,0,0,1345,1
339,1,3,1,45,0,0,805,3
340,0,1,1,45,0,0,355,3
341,1,2,1,2,1,1,26,3
342,1,1,2,24,3,2,263,3
343,0,2,1,28,0,0,13,3
344,0,2,1,25,0,0,13,3
345,0,2,1,36,0,0,13,3
346,1,2,2,24,0,0,13,3
347,1,2,2,40,0,0,13,3
348,1,3,2,38,1,0,161,3
349,1,3,1,3,1,1,159,3
350,0,3,1,42,0,0,86625,3
351,0,3,1,23,0,0,9225,3
352,0,1,1,38,0,0,35,3
353,0,3,1,15,1,1,72292,1
354,0,3,1,25,1,0,178,3
355,0,3,1,38,0,0,7225,1
356,0,3,1,28,0,0,95,3
357,1,1,2,22,0,1,55,3
358,0,2,2,38,0,0,13,3
359,1,3,2,38,0,0,78792,2
360,1,3,2,38,0,0,78792,2
361,0,3,1,40,1,4,279,3
362,0,2,1,29,1,0,277208,1
363,0,3,2,45,0,1,144542,1
364,0,3,1,35,0,0,705,3
365,0,3,1,38,1,0,155,2
366,0,3,1,30,0,0,725,3
367,1,1,2,60,1,0,7525,1
368,1,3,2,38,0,0,72292,1
369,1,3,2,38,0,0,775,2
370,1,1,2,24,0,0,693,1
371,1,1,1,25,1,0,554417,1
372,0,3,1,18,1,0,64958,3
373,0,3,1,19,0,0,805,3
374,0,1,1,22,0,0,1356333,1
375,0,3,2,3,3,1,21075,3
376,1,1,2,38,1,0,821708,1
377,1,3,2,22,0,0,725,3
378,0,1,1,27,0,2,2115,1
379,0,3,1,20,0,0,40125,1
380,0,3,1,19,0,0,7775,3
381,1,1,2,42,0,0,227525,1
382,1,3,2,1,0,2,157417,1
383,0,3,1,32,0,0,7925,3
384,1,1,2,35,1,0,52,3
385,0,3,1,38,0,0,78958,3
386,0,2,1,18,0,0,735,3
387,0,3,1,1,5,2,469,3
388,1,2,2,36,0,0,13,3
389,0,3,1,38,0,0,77292,2
390,1,2,2,17,0,0,12,1
391,1,1,1,36,1,2,120,3
392,1,3,1,21,0,0,77958,3
393,0,3,1,28,2,0,7925,3
394,1,1,2,23,1,0,113275,1
395,1,3,2,24,0,2,167,3
396,0,3,1,22,0,0,77958,3
397,0,3,2,31,0,0,78542,3
398,0,2,1,46,0,0,26,3
399,0,2,1,23,0,0,105,3
400,1,2,2,28,0,0,1265,3
401,1,3,1,39,0,0,7925,3
402,0,3,1,26,0,0,805,3
403,0,3,2,21,1,0,9825,3
404,0,3,1,28,1,0,1585,3
405,0,3,2,20,0,0,86625,3
406,0,2,1,34,1,0,21,3
407,0,3,1,51,0,0,775,3
408,1,2,1,3,1,1,1875,3
409,0,3,1,21,0,0,7775,3
410,0,3,2,38,3,1,254667,3
411,0,3,1,38,0,0,78958,3
412,0,3,1,38,0,0,68583,2
413,1,1,2,33,1,0,90,2
414,0,2,1,38,0,0,0,3
415,1,3,1,44,0,0,7925,3
416,0,3,2,38,0,0,805,3
417,1,2,2,34,1,1,325,3
418,1,2,2,18,0,2,13,3
419,0,2,1,30,0,0,13,3
420,0,3,2,10,0,2,2415,3
421,0,3,1,38,0,0,78958,1
422,0,3,1,21,0,0,77333,2
423,0,3,1,29,0,0,7875,3
424,0,3,2,28,1,1,144,3
425,0,3,1,18,1,1,202125,3
426,0,3,1,38,0,0,725,3
427,1,2,2,28,1,0,26,3
428,1,2,2,19,0,0,26,3
429,0,3,1,38,0,0,775,2
430,1,3,1,32,0,0,805,3
431,1,1,1,28,0,0,2655,3
432,1,3,2,38,1,0,161,3
433,1,2,2,42,1,0,26,3
434,0,3,1,17,0,0,7125,3
435,0,1,1,50,1,0,559,3
436,1,1,2,14,1,2,120,3
437,0,3,2,21,2,2,34375,3
438,1,2,2,24,2,3,1875,3
439,0,1,1,64,1,4,263,3
440,0,2,1,31,0,0,105,3
441,1,2,2,45,1,1,2625,3
442,0,3,1,20,0,0,95,3
443,0,3,1,25,1,0,7775,3
444,1,2,2,28,0,0,13,3
445,1,3,1,38,0,0,81125,3
446,1,1,1,4,0,2,818583,3
447,1,2,2,13,0,1,195,3
